"TIME","GEO","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","Belgium","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",":",""
"2010","Belgium","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","10.2",""
"2010","Belgium","Percentage","Business economy","15.1",""
"2010","Belgium","Percentage","Mining and quarrying","-13.4",""
"2010","Belgium","Percentage","Manufacturing","11.5",""
"2010","Belgium","Percentage","Electricity, gas, steam and air conditioning supply","29.6",""
"2010","Belgium","Percentage","Water supply; sewerage, waste management and remediation activities","-0.5",""
"2010","Belgium","Percentage","Construction","-1.6",""
"2010","Belgium","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","17.1",""
"2010","Belgium","Percentage","Transportation and storage","4.1",""
"2010","Belgium","Percentage","Accommodation and food service activities","8.7",""
"2010","Belgium","Percentage","Information and communication","15.2",""
"2010","Belgium","Percentage","Financial and insurance activities","22.1",""
"2010","Belgium","Percentage","Real estate activities","17.8",""
"2010","Belgium","Percentage","Professional, scientific and technical activities","19.4",""
"2010","Belgium","Percentage","Administrative and support service activities","17.6",""
"2010","Belgium","Percentage","Public administration and defence; compulsory social security",":",""
"2010","Belgium","Percentage","Education","3.4",""
"2010","Belgium","Percentage","Human health and social work activities","9.3",""
"2010","Belgium","Percentage","Arts, entertainment and recreation","8.9",""
"2010","Belgium","Percentage","Other service activities","20.2",""
"2010","Bulgaria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","12.3",""
"2010","Bulgaria","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","13.0",""
"2010","Bulgaria","Percentage","Business economy","14.1",""
"2010","Bulgaria","Percentage","Mining and quarrying","15.9",""
"2010","Bulgaria","Percentage","Manufacturing","24.1",""
"2010","Bulgaria","Percentage","Electricity, gas, steam and air conditioning supply","15.7",""
"2010","Bulgaria","Percentage","Water supply; sewerage, waste management and remediation activities","8.2",""
"2010","Bulgaria","Percentage","Construction","-4.6",""
"2010","Bulgaria","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","11.8",""
"2010","Bulgaria","Percentage","Transportation and storage","16.3",""
"2010","Bulgaria","Percentage","Accommodation and food service activities","9.6",""
"2010","Bulgaria","Percentage","Information and communication","13.8",""
